PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,fluc-Phenotype,fluc-Potency,fluc-Efficacy,fluc-Analysis Comment,fluc-Activity_Score,fluc-Curve_Description,fluc-Fit_LogAC50,fluc-Fit_HillSlope,fluc-Fit_R2,fluc-Fit_InfiniteActivity,fluc-Fit_ZeroActivity,fluc-Fit_CurveClass,fluc-Excluded_Points,fluc-Max_Response,fluc-Activity at 0.0009730000 uM,fluc-Activity at 0.00292 uM,fluc-Activity at 0.00876 uM,fluc-Activity at 0.026 uM,fluc-Activity at 0.079 uM,fluc-Activity at 0.237 uM,fluc-Activity at 0.710 uM,fluc-Activity at 2.130 uM,fluc-Activity at 6.390 uM,fluc-Activity at 19.20 uM,fluc-Activity at 57.50 uM,nluc-Phenotype,nluc-Potency,nluc-Efficacy,nluc-Analysis Comment,nluc-Activity_Score,nluc-Curve_Description,nluc-Fit_LogAC50,nluc-Fit_HillSlope,nluc-Fit_R2,nluc-Fit_InfiniteActivity,nluc-Fit_ZeroActivity,nluc-Fit_CurveClass,nluc-Excluded_Points,nluc-Max_Response,nluc-Activity at 0.0009730000 uM,nluc-Activity at 0.00292 uM,nluc-Activity at 0.00876 uM,nluc-Activity at 0.026 uM,nluc-Activity at 0.079 uM,nluc-Activity at 0.237 uM,nluc-Activity at 0.710 uM,nluc-Activity at 2.130 uM,nluc-Activity at 6.390 uM,nluc-Activity at 19.20 uM,nluc-Activity at 57.50 uM
79,24392058,16014470,Active,60,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00117479-01/229331010,,Inhibitor,13.0972,-146.484,60,Inhibitor,10.8576,129.32,,43,Partial curve; high efficacy,-4.9643,1.1,0.9012,-130.606,-1.2856,-2.1,0 0 0 0 0 0 0 0 0 0 0,-118.302,8.2903,-28.1802,0,-14.0879,10.2561,6.462,6.0337,-20.8284,-58.6458,-73.2208,-118.302,Inhibitor,15.3368,229.123,,43,Partial curve; high efficacy,-4.8143,1,0.9318,-221.53,7.5928,-2.1,0 0 0 0 0 0 0 0 0 0 0,-174.665,42.2718,-22.5318,0,-4.6481,18.6628,2.4771,0,-10.4173,-73.8045,-112.71,-174.665
80,24400769,16022384,Active,60,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00125386-01/229331069,,Inhibitor,13.0972,-127.276,60,Inhibitor,10.8576,100.801,,82,Complete curve; high efficacy,-4.9643,4.9549,0.8659,-99.4908,1.3098,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.7362,0,-10.7572,-12.0789,14.9823,32.248,-26.233,14.6995,0,-5.8237,-94.4418,-98.7362,Inhibitor,15.3368,158.787,,82,Complete curve; high efficacy,-4.8143,4.9549,0.9505,-157.063,1.7234,-1.1,0 0 0 0 0 0 0 0 0 0 0,-155.817,0,-25.9323,0,13.018,16.5272,-14.3055,14.8281,12.1807,-4.3025,-118.74,-155.817
81,24401836,135410474,Active,60,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00126453-01/229331309,,Inhibitor,12.9258,-142.78,60,Inhibitor,12.1825,119.345,,83,Complete curve; high efficacy,-4.9143,2.7202,0.9621,-123.767,-4.4222,-1.1,0 0 0 0 0 0 0 0 0 0 0,-119.236,0,-10.582,-22.332,-1.3674,-13.1671,-3.4475,7.1122,2.5178,-18.3564,-100.71,-119.236,Inhibitor,13.669,170.502,,83,Complete curve; high efficacy,-4.8643,4.9549,0.9705,-167.654,2.8483,-1.1,0 0 0 0 0 0 0 0 0 0 0,-166.323,0,-15.4613,-2.2865,6.9311,-6.8206,20.7182,0,23.5628,-0.9412,-142.498,-166.323
82,24409911,16030983,Active,60,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00134528-01/229331211,,Inhibitor,12.9258,-104.68,60,Inhibitor,12.1825,92.201,,42,Partial curve; high efficacy,-4.9143,1.9673,0.9197,-92.201,0,-2.1,0 0 0 0 0 0 0 0 0 0 0,-88.6743,0,0.4087,-6.9543,0,-17.1504,0,20.619,2.8073,-24.7612,-63.6332,-88.6743,Inhibitor,13.669,139.666,,42,Partial curve; high efficacy,-4.8643,1.6259,0.9189,-131.562,8.1041,-2.1,0 0 0 0 0 0 0 0 0 0 0,-120.686,18.512,-17.366,0,26.6609,-7.7409,20.5616,7.4837,10.3189,-28.6825,-77.836,-120.686
83,24411839,16032324,Active,60,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00136456-01/229331545,,Inhibitor,13.0972,-126.777,60,Inhibitor,10.8576,138.981,,43,Partial curve; high efficacy,-4.9643,1.1,0.8845,-130.747,8.234,-2.1,0 0 0 0 0 0 0 0 0 0 0,-107.812,28.8446,14.9014,-16.0555,11.8992,-9.6278,29.4205,-6.9148,-21.8389,-29.2299,-91.8168,-107.812,Inhibitor,15.3368,197.787,,43,Partial curve; high efficacy,-4.8143,1.111,0.9558,-185.458,12.329,-2.1,1 0 0 0 0 0 0 0 0 0 0,-145.742,59.6327,5.8375,0.8807,30.3861,16.8202,21.4601,-11.6918,-17.5777,-28.0856,-106.834,-145.742
84,24271528,15990801,Active,58,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00108183-01/229331283,,Inhibitor,13.669,-77.3379,58,Inhibitor,13.669,68.93,,61,Complete curve; partial efficacy,-4.8643,4.095,0.8602,-66.976,1.954,-1.2,0 0 0 0 0 0 0 0 0 0 0,-67.2908,18.169,0,13.6673,9.313,-2.7037,-15.8672,-12.6037,4.8342,-1.1875,-52.2767,-67.2908,Inhibitor,13.669,88.0652,,82,Complete curve; high efficacy,-4.8643,4.9549,0.9338,-87.5597,0.5055,-1.1,0 0 0 0 0 0 0 0 0 0 0,-87.3849,-1.7116,4.2628,-2.5205,6.1318,13.723,-21.7597,-0.5505,5.9356,0.5398,-73.442,-87.3849
85,24386045,16009608,Active,58,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00111466-01/229331071,,Inhibitor,13.7597,-101.778,58,Inhibitor,12.1825,89.8398,,42,Partial curve; partial efficacy,-4.9143,1.9673,0.9662,-85.9162,3.9236,-2.2,1 0 0 0 0 0 0 0 0 0 0,-79.1032,-32.5405,0,8.4973,8.7306,-0.0641,12.4247,-5.501,-3.3873,-9.8799,-62.7167,-79.1032,Inhibitor,15.3368,141.544,,42,Partial curve; high efficacy,-4.8143,1.3443,0.9767,-144.115,-2.5714,-2.1,0 0 0 0 0 0 0 0 0 0 0,-124.452,-18.5546,-6.6034,2.2662,0,0,4.1194,-1.4333,-9.173,-40.2141,-81.6973,-124.452
86,24386765,16010249,Active,58,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00112186-01/229331425,,Inhibitor,13.7597,-127.817,58,Inhibitor,15.3368,142.601,,42,Partial curve; high efficacy,-4.8143,1.2221,0.9247,-129.524,13.077,-2.1,0 0 0 0 0 0 0 0 0 0 0,-105.069,0,0,32.5835,5.3761,32.3739,13.6748,5.4601,-7.0734,-15.3138,-71.5964,-105.069,Inhibitor,12.1825,191.813,,44,Partial curve; high efficacy,-4.9143,1.2221,0.9676,-176.968,14.8453,-2.1,0 0 0 0 0 0 0 0 0 0 0,-150.566,0,20.1614,35.0004,0,24.3319,16.4811,-1.3349,-7.4893,-40.5288,-111.27,-150.566
87,24387532,16010969,Active,58,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00112953-01/229331370,,Inhibitor,13.7597,-127.196,58,Inhibitor,15.3368,97.566,,42,Partial curve; high efficacy,-4.8143,3.1925,0.9836,-97.0506,0.5154,-2.1,0 0 0 0 0 0 0 0 0 0 0,-94.5913,8.4929,0,0,-0.5084,0.2312,6.2285,-8.5019,0,-6.3665,-65.919,-94.5913,Inhibitor,12.1825,173.542,,43,Partial curve; high efficacy,-4.9143,2.0479,0.9979,-165.874,7.6686,-2.1,0 0 0 0 0 0 0 0 0 0 0,-159.801,10.6121,2.5698,10.0388,8.2435,4.6875,6.4538,6.3387,7.197,-27.6624,-116.121,-159.801
88,24389597,16012850,Active,58,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00115018-01/229331397,,Inhibitor,13.7597,-109.554,58,Inhibitor,15.3368,123.708,,42,Partial curve; high efficacy,-4.8143,2.4729,0.8491,-116.096,7.6127,-2.1,0 0 0 0 0 0 0 0 0 0 0,-110.703,10.5328,41.5505,2.4895,-26.4484,28.9724,-1.7254,0,7.6183,-4.8084,-72.4637,-110.703,Inhibitor,12.1825,108.719,,82,Complete curve; high efficacy,-4.9143,2.4064,0.9034,-111.225,-2.5057,-1.1,1 0 0 0 0 0 0 0 0 0 0,-108.406,32.4297,5.2399,-22.2011,-20.9757,12.2407,-7.4428,-4.7954,16.8766,-20.3452,-84.6377,-108.406
89,24400161,16021788,Active,58,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00124778-01/229331081,,Inhibitor,13.669,-133.25,58,Inhibitor,13.669,114.052,,82,Complete curve; high efficacy,-4.8643,4.095,0.9717,-104.596,9.4558,-1.1,0 0 0 0 0 0 0 0 0 0 0,-104.499,21.5781,6.9396,16.3265,5.2748,15.728,13.903,-3.3756,3.5807,-0.7817,-81.7537,-104.499,Inhibitor,13.669,160.381,,83,Complete curve; high efficacy,-4.8643,3.6772,0.9852,-160.381,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-162.001,0,0,-7.5505,2.3571,-3.1454,17.3954,0.5945,-10.4467,-9.2433,-121.162,-162.001
90,24267853,3426438,Active,55,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00104508-01/229331516,,Inhibitor,14.5029,-111.87,55,Inhibitor,13.669,90.5568,,82,Complete curve; high efficacy,-4.8643,4.9549,0.9421,-90.5568,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-91.4716,2.8356,0,-18.3917,-7.4666,16.3117,0,0,0,3.0641,-75.0507,-91.4716,Inhibitor,15.3368,124.555,,82,Complete curve; high efficacy,-4.8143,4.9549,0.9522,-133.326,-8.7706,-1.1,0 0 0 0 0 0 0 0 0 0 0,-132.268,-18.3513,0,-4.1871,-27.8672,0,2.6651,-21.1879,0,-12.2954,-104.435,-132.268
91,24274977,1807348,Active,55,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00101279-01/229331320,,Inhibitor,14.5029,-72.8704,55,Inhibitor,13.669,57.522,,21,Complete curve; partial efficacy,-4.8643,4.9549,0.8724,-56.5291,0.9929,-1.2,0 0 0 0 0 0 0 0 0 0 0,-56.6909,0.5516,18.3802,0,0,-12.463,-9.0287,0,0.9503,9.0864,-47.6907,-56.6909,Inhibitor,15.3368,102.479,,41,Partial curve; high efficacy,-4.8143,4.9549,0.7634,-87.8757,14.6032,-2.1,0 0 0 0 0 0 0 0 0 0 0,-89.0499,30.3268,56.9823,5.5263,0,2.7304,-19.7928,1.0061,31.4975,20.149,-61.6194,-89.0499
92,24388096,16011511,Active,55,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00113517-01/229331638,,Inhibitor,14.5029,-104.281,55,Inhibitor,15.3368,79.9858,,41,Partial curve; high efficacy,-4.8143,2.7202,0.8674,-85.4656,-5.4797,-2.1,1 0 0 0 0 0 0 0 0 0 0,-81.638,-24.6687,-1.6698,0,0,1.7679,3.1594,-33.8132,-11.083,-8.1449,-60.6775,-81.638,Inhibitor,13.669,128.658,,82,Complete curve; high efficacy,-4.8643,3.6772,0.9412,-127.177,1.4811,-1.1,0 0 0 0 0 0 0 0 0 0 0,-126.923,-19.0709,-8.7615,9.6101,16.7698,21.1909,0,-6.3509,2.9438,-12.6148,-97.0348,-126.923
93,24389478,7574107,Active,55,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00114899-01/229331386,,Inhibitor,14.5029,-151.801,55,Inhibitor,15.3368,134.595,,42,Partial curve; high efficacy,-4.8143,1.9282,0.9583,-128.992,5.6027,-2.1,0 0 0 0 0 0 0 0 0 0 0,-120.104,0,6.4617,15.9342,19.9646,0,2.1131,-13.0952,9.2759,-15.9852,-74.3123,-120.104,Inhibitor,13.669,203.404,,44,Partial curve; high efficacy,-4.8643,2.0479,0.9733,-193.774,9.6303,-2.1,0 0 0 0 0 0 0 0 0 0 0,-183.498,0,30.3405,0,30.5096,0,2.2292,9.0631,0,-25.7497,-125.818,-183.498
94,24394241,16016424,Active,55,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00119662-01/229331106,,Inhibitor,14.5029,-116.876,55,Inhibitor,13.669,86.2238,,82,Complete curve; high efficacy,-4.8643,3.6772,0.9672,-86.7377,-0.5139,-1.1,0 0 0 0 0 0 0 0 0 0 0,-87.6138,0,0,-11.3265,-9.7218,7.5253,6.6842,0,0.7235,-6.0415,-66.0109,-87.6138,Inhibitor,15.3368,149.937,,42,Partial curve; high efficacy,-4.8143,1.9673,0.9449,-158.706,-8.7683,-2.1,0 0 0 0 0 0 0 0 0 0 0,-146.138,-1.436,-1.6471,-23.4798,-35.6434,0,-9.2944,0,-3.2992,-31.7973,-104.09,-146.138
95,24396246,16018299,Active,55,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00121667-01/229331615,,Inhibitor,14.5029,-121.047,55,Inhibitor,13.669,90.3211,,82,Complete curve; high efficacy,-4.8643,4.9549,0.8228,-89.119,1.2021,-1.1,0 0 0 0 0 0 0 0 0 0 0,-88.7912,2.015,-28.4256,-10.3109,-7.2035,11.4792,13.4072,-6.4627,5.0262,31.4187,-75.9264,-88.7912,Inhibitor,15.3368,161.803,,82,Complete curve; high efficacy,-4.8143,4.9549,0.9288,-155.45,6.353,-1.1,0 0 0 0 0 0 0 0 0 0 0,-153.304,7.348,-30.4232,0,-4.4396,1.736,17.8783,28.2106,15.3127,22.7325,-117.859,-153.304
96,24398626,16020328,Active,55,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00108792-01/229331340,,Inhibitor,14.5029,-124.225,55,Inhibitor,15.3368,112.579,,42,Partial curve; high efficacy,-4.8143,2.3031,0.8699,-111.211,1.3685,-2.1,0 0 0 0 0 0 0 0 0 0 0,-105.79,-6.5147,17.0883,-10.1237,-10.9948,-11.6397,-9.394,31.0553,15.085,-15.013,-68.9751,-105.79,Inhibitor,13.669,149.903,,43,Partial curve; high efficacy,-4.8643,2.7202,0.8646,-143.423,6.4792,-2.1,0 0 0 0 0 0 0 0 0 0 0,-142.659,-19.8975,42.4604,-1.4479,-8.578,0,-19.4127,29.2877,30.5294,-12.7964,-97.096,-142.659
97,24400948,16022561,Active,55,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00125565-01/229331193,,Inhibitor,14.5029,-118.913,55,Inhibitor,13.669,110.009,,82,Complete curve; high efficacy,-4.8643,4.095,0.97,-108.815,1.1935,-1.1,0 0 0 0 0 0 0 0 0 0 0,-110.585,3.5214,5.2829,0.9542,-17.4114,0,8.7663,0,8.5382,-4.563,-84.172,-110.585,Inhibitor,15.3368,133.475,,42,Partial curve; high efficacy,-4.8143,2.5334,0.9683,-131.314,2.161,-2.1,1 0 0 0 0 0 0 0 0 0 0,-127.242,26.2059,0,16.8268,-16.2585,0.8327,6.5403,-1.5464,5.3681,-10.7461,-81.7531,-127.242
98,24408032,16029320,Active,55,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00132649-01/229331540,,Inhibitor,14.5029,-87.4352,55,Inhibitor,13.669,83.4806,,21,Partial curve; partial efficacy,-4.8643,1.4163,0.9596,-73.4806,10,-2.2,0 0 0 0 0 0 0 0 0 0 0,-64.5672,5.7472,13.9119,0,4.7789,13.3645,12.5255,15.4325,8.6885,-16.0786,-39.6353,-64.5672,Inhibitor,15.3368,131.685,,42,Partial curve; high efficacy,-4.8143,1.2221,0.9067,-131.007,0.6785,-2.1,0 0 0 0 0 0 0 0 0 0 0,-110.303,0.9596,0.3334,-20.49,-5.4163,2.9563,25.3895,-9.1344,0,-43.4943,-69.235,-110.303
99,24414072,4155718,Active,55,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00138689-01/229331237,,Inhibitor,14.5029,-87.2913,55,Inhibitor,13.669,86.7352,,42,Partial curve; partial efficacy,-4.8643,1.6266,0.8948,-84.0987,2.6365,-2.2,0 0 0 0 0 0 0 0 0 0 0,-75.7264,7.6153,1.0285,0,6.7838,0,21.543,-17.212,-7.7857,-10.8947,-55.0313,-75.7264,Inhibitor,15.3368,101.448,,42,Partial curve; high efficacy,-4.8143,2.2526,0.8461,-105.578,-4.1303,-2.1,0 0 0 0 0 0 0 0 0 0 0,-98.8561,8.3917,-34.1857,0,0,0,19.1538,-20.3047,-9.8098,-14.1218,-70.9753,-98.8561
100,24267342,3294301,Active,53,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00103997-01/229331338,,Inhibitor,15.3368,-153.726,53,Inhibitor,15.3368,138.119,,42,Partial curve; high efficacy,-4.8143,2.5884,0.9536,-127.155,10.9641,-2.1,0 0 0 0 0 0 0 0 0 0 0,-122.278,6.9556,2.0626,34.3518,6.4442,18.3168,0,0,17.0213,-3.4954,-78.0657,-122.278,Inhibitor,15.3368,190.644,,43,Partial curve; high efficacy,-4.8143,4.4495,0.9697,-185.543,5.1013,-2.1,0 0 0 0 0 0 0 0 0 0 0,-185.173,2.6603,-24.5698,8.3501,17.6833,18.8775,6.4439,-3.7636,14.6875,2.2104,-133.824,-185.173
101,24271644,15990906,Active,53,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00108299-01/229331587,,Inhibitor,15.3368,-145.923,53,Inhibitor,15.3368,127.789,,82,Complete curve; high efficacy,-4.8143,4.9549,0.9867,-125.776,2.0124,-1.1,0 0 0 0 0 0 0 0 0 0 0,-121.876,0,-6.2131,-0.1314,0,0.9536,4.4383,0,5.6982,12.286,-98.6118,-121.876,Inhibitor,15.3368,172.349,,83,Complete curve; high efficacy,-4.8143,4.9549,0.983,-172.349,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-169.97,0,-3.8374,8.7714,-6.9683,0,-17.6562,5.0192,11.6618,3.1989,-133.637,-169.97
102,24385794,16009383,Active,53,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00111215-01/229331529,,Inhibitor,15.0828,-84.7768,53,Inhibitor,10.8576,74.5002,,62,Complete curve; partial efficacy,-4.9643,2.3332,0.968,-72.1985,2.3017,-1.2,0 0 1 0 0 0 0 0 0 0 0,-70.3956,2.4803,0,39.7778,-7.7586,0,3.507,11.5873,5.1592,-14.5678,-55.9046,-70.3956,Inhibitor,19.3079,116.955,,41,Partial curve; high efficacy,-4.7143,2.0437,0.9528,-111.255,5.6999,-2.1,0 0 0 0 0 0 0 0 0 0 0,-99.1579,7.4329,0,0,-11.7353,12.6051,13.4183,14.8395,8.655,-5.138,-53.6467,-99.1579
103,24386210,2138534,Active,53,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00111631-01/229331651,,Inhibitor,15.3368,-122.254,53,Inhibitor,15.3368,107.496,,42,Partial curve; high efficacy,-4.8143,4.045,0.9655,-99.188,8.3076,-2.1,0 0 0 0 0 0 0 0 0 0 0,-97.4916,-1.9903,21.1877,0.9809,11.4032,9.4049,1.6956,19.3096,8.1443,3.6369,-69.841,-97.4916,Inhibitor,15.3368,165.591,,42,Partial curve; high efficacy,-4.8143,4.4495,0.9299,-144.92,20.6718,-2.1,0 0 0 0 0 0 0 0 0 0 0,-147.016,3.7117,35.6359,19.2822,0.5787,36.7314,-0.6387,12.5706,49.8578,23.2613,-97.8734,-147.016
104,24387810,16011234,Active,53,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00113231-01/229331202,,Inhibitor,15.0828,-59.3862,53,Inhibitor,10.8576,59.852,,21,Partial curve; partial efficacy,-4.9643,1.2221,0.8518,-58.1262,1.7258,-2.2,0 0 0 0 0 0 0 0 0 0 0,-52.3767,-7.2492,15.3649,-0.8027,2.8376,-10.7868,2.7469,11.8226,-10.5548,-18.9508,-36.305,-52.3767,Inhibitor,19.3079,95.8601,,41,Partial curve; partial efficacy,-4.7143,1,0.9286,-87.3601,8.5,-2.2,0 0 0 0 0 0 0 0 0 0 0,-66.3957,-3.6246,20.457,4.9303,8.4038,5.7517,11.0514,9.91,-1.199,-21.2435,-31.6708,-66.3957
105,24400767,16022382,Active,53,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00125384-01/229331504,,Inhibitor,15.3368,-141.907,53,Inhibitor,15.3368,113.516,,42,Partial curve; high efficacy,-4.8143,3.5117,0.9568,-116.032,-2.5164,-2.1,0 0 0 0 0 0 0 0 0 0 0,-116.498,0,-14.6068,5.9072,9.3229,0,0,-19.7217,-3.8454,-4.2378,-78.4209,-116.498,Inhibitor,15.3368,167.5,,43,Partial curve; high efficacy,-4.8143,2.4064,0.91,-176.686,-9.1864,-2.1,0 0 0 0 0 0 0 0 0 0 0,-167.317,0,-47.1812,16.4114,-7.1608,0,7.5948,-27.7662,-15.9123,-22.1683,-119.958,-167.317
106,24410780,2156222,Active,53,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00135397-01/229331613,,Inhibitor,15.3368,-102.982,53,Inhibitor,15.3368,94.1372,,81,Complete curve; high efficacy,-4.8143,4.9549,0.8546,-94.1372,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-94.0622,0.1587,-21.1866,19.498,-20.1907,17.5432,11.2522,-14.4667,7.5949,0.8398,-70.7875,-94.0622,Inhibitor,15.3368,111.841,,82,Complete curve; high efficacy,-4.8143,4.9549,0.8285,-113.389,-1.5476,-1.1,0 0 0 0 0 0 0 0 0 0 0,-111.902,0,-25.0846,0,-25.46,0,3.4698,-8.5451,0,42.8613,-87.9969,-111.902
107,24385748,16009340,Active,52,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00111169-01/229331571,,Inhibitor,15.4386,-129.203,52,Inhibitor,13.669,113.214,,42,Partial curve; high efficacy,-4.8643,2.5884,0.8617,-111.243,1.9704,-2.1,0 0 0 0 0 0 0 0 0 0 0,-110.36,13.1848,0,4.1013,11.1173,-36.7088,-9.3898,20.9972,14.7574,-13.4179,-74.976,-110.36,Inhibitor,17.2082,144.75,,42,Partial curve; high efficacy,-4.7643,2.7202,0.9026,-152.784,-8.0334,-2.1,0 0 0 0 0 0 0 0 0 0 0,-148.046,12.6213,-0.7573,9.8552,-20.2771,-10.5325,-33.8958,-30.931,3.4523,-13.4257,-90.0047,-148.046
108,24386307,16009829,Active,52,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00111728-01/229331168,,Inhibitor,15.4386,-103.516,52,Inhibitor,13.669,92.0264,,81,Complete curve; high efficacy,-4.8643,4.5045,0.9357,-77.4156,14.6108,-1.1,0 0 0 1 0 0 0 0 0 0 0,-78.9434,1.025,21.6098,29.2847,-19.2462,13.3132,12.216,0,24.8277,13.4887,-59.5529,-78.9434,Inhibitor,17.2082,124.932,,42,Partial curve; high efficacy,-4.7643,3.5117,0.9106,-129.113,-4.1817,-2.1,0 0 0 0 0 0 0 0 0 0 0,-128.089,0,0,11.3016,-38.2816,0,0,-13.7089,5.2902,-3.712,-77.0266,-128.089
109,24275531,3774203,Active,50,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00101833-01/229331650,,Inhibitor,16.2725,-134.757,50,Inhibitor,15.3368,110.514,,82,Complete curve; high efficacy,-4.8143,4.9549,0.8934,-114.516,-4.0023,-1.1,0 0 0 0 0 0 0 0 0 0 0,-112.935,4.4046,-25.7071,-6.5611,-7.5487,-24.9075,20.4747,-5.6161,1.5616,9.9809,-89.0735,-112.935,Inhibitor,17.2082,158.013,,42,Partial curve; high efficacy,-4.7643,3.99,0.9526,-159.711,-1.6981,-2.1,0 0 0 0 0 0 0 0 0 0 0,-156.579,9.4307,-10.6332,13.2355,-18.4276,0.6917,11.8164,-22.7873,2.9989,-0.7275,-100.943,-156.579
110,24401588,16023196,Active,50,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00126205-01/229331542,,Inhibitor,16.2725,-71.7856,50,Inhibitor,17.2082,88.8287,,21,Partial curve; partial efficacy,-4.7643,1.111,0.8701,-78.8287,10,-2.2,0 0 0 0 0 0 0 0 0 0 0,-60.7972,0,3.4645,14.5519,8.8381,32.9232,-2.0177,11.6002,1.1771,-13.3011,-35.6452,-60.7972,Inhibitor,15.3368,90.6345,,41,Partial curve; high efficacy,-4.8143,1.5579,0.8551,-92.7952,-2.1607,-2.1,0 0 0 0 0 0 0 0 0 0 0,-82.774,0,-20.7804,-1.4122,5.1581,12.9874,-20.5149,13.833,-10.5791,-19.9983,-55.4686,-82.774
111,24409915,16030987,Active,50,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00134532-01/229331173,,Inhibitor,16.2725,-138.835,50,Inhibitor,15.3368,131.347,,42,Partial curve; high efficacy,-4.8143,2.3031,0.9742,-128.509,2.8386,-2.1,0 0 0 0 0 0 0 0 0 0 0,-121.694,0,-1.5271,20.2355,-2.0462,0,7.343,-6.8019,2.4297,-13.4228,-80.0171,-121.694,Inhibitor,17.2082,172.484,,42,Partial curve; high efficacy,-4.7643,2.8473,0.9254,-158.774,13.7091,-2.1,0 0 0 0 0 0 0 0 0 0 0,-155.976,8.2436,-15.6219,29.2169,5.7605,10.1573,33.1924,0.9169,39.8671,0.0693,-81.4013,-155.976
112,24267782,4054690,Active,49,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00104437-01/229331308,,Inhibitor,16.4885,-154.178,49,Inhibitor,13.669,142.974,,42,Partial curve; high efficacy,-4.8643,1.3723,0.9597,-135.102,7.8718,-2.1,0 0 0 0 0 0 0 0 0 0 0,-119.145,-3.8858,-1.332,6.0979,15.6115,23.9789,0,11.205,5.0108,-37.6298,-75.2736,-119.145,Inhibitor,19.3079,248.209,,43,Partial curve; high efficacy,-4.7143,1.2475,0.9865,-238.407,9.8019,-2.1,0 0 0 0 0 0 0 0 0 0 0,-189.212,5.7718,3.2741,15.3196,28.609,5.8869,1.6248,3.9404,0,-47.0401,-111.313,-189.212
